supplier_id,name,latitude,longitude,lead_time_hours,reliability_score,capacity_kg_per_day,city
1,Valley Farms Co-op,34.1,-118.3,12.0,0.92,8000.0,Green Valley
2,Metro Produce Dist.,40.7,-74.01,6.0,0.95,10000.0,Metro City
3,Pacific Seafood Inc.,37.75,-122.45,8.0,0.88,5000.0,Harbor Town
4,Heartland Dairy,40.8,-73.95,8.0,0.93,7000.0,Metro City
5,Premium Meats Ltd.,40.72,-74.0,6.0,0.9,6000.0,Metro City
6,Sunrise Bakeries,34.06,-118.25,4.0,0.96,4000.0,Green Valley
7,Harbor Fish Market,37.8,-122.4,4.0,0.91,3000.0,Harbor Town
8,Green Fields Organic,34.08,-118.5,10.0,0.89,6000.0,Green Valley
9,National Dry Goods,40.74,-73.99,24.0,0.97,15000.0,Metro City
10,Frozen Foods Direct,37.76,-122.38,12.0,0.94,8000.0,Harbor Town
11,Snack Masters Inc.,40.73,-74.02,24.0,0.96,5000.0,Metro City
12,Fresh Deli Supplies,34.05,-118.24,6.0,0.9,3000.0,Green Valley
13,BioFarm Collective,37.82,-122.3,8.0,0.87,4000.0,Harbor Town
14,Tropical Imports Co.,40.71,-74.03,18.0,0.85,5000.0,Metro City
15,Golden Grain Mills,34.03,-118.22,48.0,0.98,12000.0,Green Valley
16,Regional Beverage Dist.,37.77,-122.41,12.0,0.95,6000.0,Harbor Town
17,Farm To Table Co.,40.76,-73.97,8.0,0.91,5000.0,Metro City
18,Coastal Produce,37.79,-122.405,10.0,0.89,5500.0,Harbor Town
19,Mountain Dairy Farm,34.12,-118.48,8.0,0.92,4000.0,Green Valley
20,Heritage Meat Packers,40.735,-73.995,6.0,0.93,4500.0,Metro City
