date,store_id,store_name,city,product_id,product_name,category,shelf_life_days,quantity_on_hand,days_until_expiry,freshness_score,at_risk_cost,at_risk_co2_kg,risk_level
2025-12-12,1,FreshMart Downtown,Metro City,58,Chicken Breast 500g,Meat,3,49.2,0,0.0,172.2,339.48,critical
2025-12-20,8,Harbor Fresh,Harbor Town,58,Chicken Breast 500g,Meat,3,41.2,0,0.0,144.2,284.28,critical
2025-12-21,8,Harbor Fresh,Harbor Town,71,Shrimp 500g,Seafood,2,21.9,0,0.0,131.4,394.2,critical
2025-12-31,7,Valley Organics,Green Valley,58,Chicken Breast 500g,Meat,3,37.5,0,0.0,131.25,258.75,critical
2025-12-14,5,FreshMart Valley,Green Valley,61,Beef Steak 300g,Meat,3,21.6,0,0.0,129.6,583.2,critical
2025-12-26,8,Harbor Fresh,Harbor Town,60,Ground Beef 500g,Meat,3,30.5,0,0.0,122.0,823.5,critical
2025-12-06,10,Dock Street Grocery,Harbor Town,55,Eggs - Dozen,Dairy,21,60.8,0,0.0,121.6,291.84,critical
2025-12-01,4,SuperSave East,Metro City,61,Beef Steak 300g,Meat,3,19.5,0,0.0,117.0,526.5,critical
2025-12-27,3,GreenGrocer Central,Metro City,60,Ground Beef 500g,Meat,3,27.8,0,0.0,111.2,750.6,critical
2025-12-19,1,FreshMart Downtown,Metro City,70,Salmon Fillet 300g,Seafood,2,21.7,0,0.0,108.5,258.23,critical
2025-12-16,3,GreenGrocer Central,Metro City,58,Chicken Breast 500g,Meat,3,30.8,0,0.0,107.8,212.52,critical
2025-12-11,5,FreshMart Valley,Green Valley,60,Ground Beef 500g,Meat,3,26.9,0,0.0,107.6,726.3,critical
2025-12-09,10,Dock Street Grocery,Harbor Town,60,Ground Beef 500g,Meat,3,25.9,0,0.0,103.6,699.3,critical
2025-12-03,2,FreshMart Uptown,Metro City,60,Ground Beef 500g,Meat,3,25.8,0,0.0,103.2,696.6,critical
2025-12-06,2,FreshMart Uptown,Metro City,64,Bacon 250g,Meat,7,29.1,0,0.0,101.85,352.11,critical
2025-12-29,2,FreshMart Uptown,Metro City,60,Ground Beef 500g,Meat,3,25.4,0,0.0,101.6,685.8,critical
2025-12-14,1,FreshMart Downtown,Metro City,58,Chicken Breast 500g,Meat,3,28.9,0,0.0,101.15,199.41,critical
2025-12-29,4,SuperSave East,Metro City,48,Cheddar Cheese 200g,Dairy,30,39.9,0,0.0,99.75,339.15,critical
2025-12-28,1,FreshMart Downtown,Metro City,61,Beef Steak 300g,Meat,3,16.2,0,0.0,97.2,437.4,critical
2025-12-04,7,Valley Organics,Green Valley,58,Chicken Breast 500g,Meat,3,27.6,0,0.0,96.6,190.44,critical
2025-12-19,5,FreshMart Valley,Green Valley,60,Ground Beef 500g,Meat,3,23.5,0,0.0,94.0,634.5,critical
2025-12-09,4,SuperSave East,Metro City,58,Chicken Breast 500g,Meat,3,26.8,0,0.0,93.8,184.92,critical
2025-12-28,1,FreshMart Downtown,Metro City,71,Shrimp 500g,Seafood,2,15.6,0,0.0,93.6,280.8,critical
2025-12-12,2,FreshMart Uptown,Metro City,60,Ground Beef 500g,Meat,3,23.1,0,0.0,92.4,623.7,critical
2025-12-06,1,FreshMart Downtown,Metro City,70,Salmon Fillet 300g,Seafood,2,18.2,0,0.0,91.0,216.58,critical
2025-12-25,4,SuperSave East,Metro City,46,Whole Milk 1L,Dairy,7,90.7,0,0.0,90.7,290.24,critical
2025-12-31,8,Harbor Fresh,Harbor Town,60,Ground Beef 500g,Meat,3,22.6,0,0.0,90.4,610.2,critical
2025-12-11,8,Harbor Fresh,Harbor Town,61,Beef Steak 300g,Meat,3,14.5,0,0.0,87.0,391.5,critical
2025-12-04,3,GreenGrocer Central,Metro City,55,Eggs - Dozen,Dairy,21,43.4,0,0.0,86.8,208.32,critical
2025-12-26,8,Harbor Fresh,Harbor Town,58,Chicken Breast 500g,Meat,3,24.8,0,0.0,86.8,171.12,critical
2025-12-30,8,Harbor Fresh,Harbor Town,70,Salmon Fillet 300g,Seafood,2,17.0,0,0.0,85.0,202.3,critical
2025-12-27,2,FreshMart Uptown,Metro City,137,Salad Mix 300g,Deli,5,42.3,0,0.0,84.6,21.15,critical
2025-12-15,10,Dock Street Grocery,Harbor Town,61,Beef Steak 300g,Meat,3,14.0,0,0.0,84.0,378.0,critical
2025-12-20,10,Dock Street Grocery,Harbor Town,58,Chicken Breast 500g,Meat,3,23.8,0,0.0,83.3,164.22,critical
2025-12-17,9,Seaside Market,Harbor Town,59,Chicken Thighs 500g,Meat,3,29.1,0,0.0,81.48,200.79,critical
2025-12-19,3,GreenGrocer Central,Metro City,61,Beef Steak 300g,Meat,3,13.3,0,0.0,79.8,359.1,critical
2025-12-30,10,Dock Street Grocery,Harbor Town,60,Ground Beef 500g,Meat,3,19.9,0,0.0,79.6,537.3,critical
2025-12-07,9,Seaside Market,Harbor Town,70,Salmon Fillet 300g,Seafood,2,15.8,0,0.0,79.0,188.02,critical
2025-12-18,3,GreenGrocer Central,Metro City,60,Ground Beef 500g,Meat,3,19.6,0,0.0,78.4,529.2,critical
2025-12-26,7,Valley Organics,Green Valley,55,Eggs - Dozen,Dairy,21,38.8,0,0.0,77.6,186.24,critical
2025-12-19,8,Harbor Fresh,Harbor Town,58,Chicken Breast 500g,Meat,3,22.1,0,0.0,77.35,152.49,critical
2025-12-28,3,GreenGrocer Central,Metro City,60,Ground Beef 500g,Meat,3,19.3,0,0.0,77.2,521.1,critical
2025-12-02,10,Dock Street Grocery,Harbor Town,59,Chicken Thighs 500g,Meat,3,27.5,0,0.0,77.0,189.75,critical
2025-12-26,6,Nature's Best,Green Valley,70,Salmon Fillet 300g,Seafood,2,15.4,0,0.0,77.0,183.26,critical
2025-12-06,2,FreshMart Uptown,Metro City,61,Beef Steak 300g,Meat,3,12.3,0,0.0,73.8,332.1,critical
2025-12-12,4,SuperSave East,Metro City,70,Salmon Fillet 300g,Seafood,2,14.7,0,0.0,73.5,174.93,critical
2025-12-24,8,Harbor Fresh,Harbor Town,64,Bacon 250g,Meat,7,20.9,0,0.0,73.15,252.89,critical
2025-12-10,8,Harbor Fresh,Harbor Town,48,Cheddar Cheese 200g,Dairy,30,29.2,0,0.0,73.0,248.2,critical
2025-12-09,3,GreenGrocer Central,Metro City,71,Shrimp 500g,Seafood,2,12.1,0,0.0,72.6,217.8,critical
2025-12-21,9,Seaside Market,Harbor Town,64,Bacon 250g,Meat,7,20.6,0,0.0,72.1,249.26,critical
2025-12-25,7,Valley Organics,Green Valley,59,Chicken Thighs 500g,Meat,3,25.7,0,0.0,71.96,177.33,critical
2025-12-18,7,Valley Organics,Green Valley,61,Beef Steak 300g,Meat,3,11.7,0,0.0,70.2,315.9,critical
2025-12-26,1,FreshMart Downtown,Metro City,46,Whole Milk 1L,Dairy,7,69.5,0,0.0,69.5,222.4,critical
2025-12-12,1,FreshMart Downtown,Metro City,59,Chicken Thighs 500g,Meat,3,24.8,0,0.0,69.44,171.12,critical
2025-12-11,10,Dock Street Grocery,Harbor Town,67,Lamb Chops 500g,Meat,3,9.9,0,0.0,69.3,388.08,critical
2025-12-27,1,FreshMart Downtown,Metro City,60,Ground Beef 500g,Meat,3,17.3,0,0.0,69.2,467.1,critical
2025-12-13,5,FreshMart Valley,Green Valley,62,Pork Chops 500g,Meat,3,23.0,0,0.0,69.0,278.3,critical
2025-12-19,8,Harbor Fresh,Harbor Town,61,Beef Steak 300g,Meat,3,11.5,0,0.0,69.0,310.5,critical
2025-12-05,5,FreshMart Valley,Green Valley,137,Salad Mix 300g,Deli,5,34.3,0,0.0,68.6,17.15,critical
2025-12-27,9,Seaside Market,Harbor Town,70,Salmon Fillet 300g,Seafood,2,13.6,0,0.0,68.0,161.84,critical
2025-12-28,3,GreenGrocer Central,Metro City,58,Chicken Breast 500g,Meat,3,19.4,0,0.0,67.9,133.86,critical
2025-12-08,8,Harbor Fresh,Harbor Town,55,Eggs - Dozen,Dairy,21,33.9,0,0.0,67.8,162.72,critical
2025-12-20,1,FreshMart Downtown,Metro City,80,Croissants 4pk,Bakery,3,26.9,0,0.0,67.25,29.59,critical
2025-12-27,1,FreshMart Downtown,Metro City,77,White Bread Loaf,Bakery,5,66.7,0,0.0,66.7,53.36,critical
2025-12-07,1,FreshMart Downtown,Metro City,77,White Bread Loaf,Bakery,5,66.6,0,0.0,66.6,53.28,critical
2025-12-03,10,Dock Street Grocery,Harbor Town,70,Salmon Fillet 300g,Seafood,2,13.3,0,0.0,66.5,158.27,critical
2025-12-13,1,FreshMart Downtown,Metro City,64,Bacon 250g,Meat,7,18.9,0,0.0,66.15,228.69,critical
2025-12-12,8,Harbor Fresh,Harbor Town,71,Shrimp 500g,Seafood,2,10.9,0,0.0,65.4,196.2,critical
2025-12-25,8,Harbor Fresh,Harbor Town,70,Salmon Fillet 300g,Seafood,2,13.0,0,0.0,65.0,154.7,critical
2025-12-30,1,FreshMart Downtown,Metro City,60,Ground Beef 500g,Meat,3,16.2,0,0.0,64.8,437.4,critical
2025-12-12,6,Nature's Best,Green Valley,64,Bacon 250g,Meat,7,18.4,0,0.0,64.4,222.64,critical
2025-12-30,7,Valley Organics,Green Valley,55,Eggs - Dozen,Dairy,21,32.1,0,0.0,64.2,154.08,critical
2025-12-29,8,Harbor Fresh,Harbor Town,59,Chicken Thighs 500g,Meat,3,22.9,0,0.0,64.12,158.01,critical
2025-12-05,1,FreshMart Downtown,Metro City,64,Bacon 250g,Meat,7,18.3,0,0.0,64.05,221.43,critical
2025-12-29,6,Nature's Best,Green Valley,70,Salmon Fillet 300g,Seafood,2,12.8,0,0.0,64.0,152.32,critical
2025-12-27,1,FreshMart Downtown,Metro City,59,Chicken Thighs 500g,Meat,3,22.8,0,0.0,63.84,157.32,critical
2025-12-26,9,Seaside Market,Harbor Town,59,Chicken Thighs 500g,Meat,3,22.7,0,0.0,63.56,156.63,critical
2025-12-25,2,FreshMart Uptown,Metro City,66,Turkey Breast 500g,Meat,3,15.7,0,0.0,62.8,86.35,critical
2025-12-16,10,Dock Street Grocery,Harbor Town,60,Ground Beef 500g,Meat,3,15.6,0,0.0,62.4,421.2,critical
2025-12-27,4,SuperSave East,Metro City,71,Shrimp 500g,Seafood,2,10.4,0,0.0,62.4,187.2,critical
2025-12-13,4,SuperSave East,Metro City,70,Salmon Fillet 300g,Seafood,2,12.4,0,0.0,62.0,147.56,critical
2025-12-27,9,Seaside Market,Harbor Town,61,Beef Steak 300g,Meat,3,10.3,0,0.0,61.8,278.1,critical
2025-12-31,5,FreshMart Valley,Green Valley,71,Shrimp 500g,Seafood,2,10.3,0,0.0,61.8,185.4,critical
2025-12-02,2,FreshMart Uptown,Metro City,71,Shrimp 500g,Seafood,2,10.2,0,0.0,61.2,183.6,critical
2025-12-06,4,SuperSave East,Metro City,7,Grapes - Red,Fruits,10,30.6,0,0.0,61.2,21.42,critical
2025-12-17,4,SuperSave East,Metro City,70,Salmon Fillet 300g,Seafood,2,12.1,0,0.0,60.5,143.99,critical
2025-12-28,2,FreshMart Uptown,Metro City,70,Salmon Fillet 300g,Seafood,2,12.1,0,0.0,60.5,143.99,critical
2025-12-27,2,FreshMart Uptown,Metro City,7,Grapes - Red,Fruits,10,30.1,0,0.0,60.2,21.07,critical
2025-12-07,6,Nature's Best,Green Valley,46,Whole Milk 1L,Dairy,7,59.5,0,0.0,59.5,190.4,critical
2025-12-10,6,Nature's Best,Green Valley,67,Lamb Chops 500g,Meat,3,8.5,0,0.0,59.5,333.2,critical
2025-12-28,6,Nature's Best,Green Valley,137,Salad Mix 300g,Deli,5,29.7,0,0.0,59.4,14.85,critical
2025-12-05,1,FreshMart Downtown,Metro City,70,Salmon Fillet 300g,Seafood,2,11.8,0,0.0,59.0,140.42,critical
2025-12-21,3,GreenGrocer Central,Metro City,70,Salmon Fillet 300g,Seafood,2,11.8,0,0.0,59.0,140.42,critical
2025-12-17,8,Harbor Fresh,Harbor Town,60,Ground Beef 500g,Meat,3,14.6,0,0.0,58.4,394.2,critical
2025-12-21,2,FreshMart Uptown,Metro City,71,Shrimp 500g,Seafood,2,9.7,0,0.0,58.2,174.6,critical
2025-12-29,9,Seaside Market,Harbor Town,71,Shrimp 500g,Seafood,2,9.7,0,0.0,58.2,174.6,critical
2025-12-05,1,FreshMart Downtown,Metro City,58,Chicken Breast 500g,Meat,3,16.5,0,0.0,57.75,113.85,critical
2025-12-24,10,Dock Street Grocery,Harbor Town,59,Chicken Thighs 500g,Meat,3,20.5,0,0.0,57.4,141.45,critical
2025-12-20,7,Valley Organics,Green Valley,137,Salad Mix 300g,Deli,5,28.6,0,0.0,57.2,14.3,critical
2025-12-11,8,Harbor Fresh,Harbor Town,46,Whole Milk 1L,Dairy,7,56.8,0,0.0,56.8,181.76,critical
2025-12-09,4,SuperSave East,Metro City,50,Greek Yogurt 500g,Dairy,14,37.8,0,0.0,56.7,94.5,critical
2025-12-24,10,Dock Street Grocery,Harbor Town,67,Lamb Chops 500g,Meat,3,8.1,0,0.0,56.7,317.52,critical
2025-12-14,5,FreshMart Valley,Green Valley,59,Chicken Thighs 500g,Meat,3,20.2,0,0.0,56.56,139.38,critical
2025-12-07,5,FreshMart Valley,Green Valley,72,Cod Fillet 300g,Seafood,2,14.1,0,0.0,56.4,76.14,critical
