product_id,name,category,subcategory,shelf_life_days,avg_daily_demand,unit_cost,unit_price,carbon_footprint_kg,storage_temp_min,storage_temp_max,is_perishable
1,Bananas,Fruits,Tropical,7,120.0,0.8,1.5,0.9,2.0,8.0,1
2,Apples - Red,Fruits,Pome,21,90.0,1.2,2.0,0.4,2.0,8.0,1
3,Apples - Green,Fruits,Pome,21,60.0,1.3,2.1,0.4,2.0,8.0,1
4,Oranges,Fruits,Citrus,14,85.0,1.0,1.8,0.5,2.0,8.0,1
5,Strawberries,Fruits,Berries,5,50.0,2.5,4.5,1.1,2.0,8.0,1
6,Blueberries,Fruits,Berries,7,35.0,3.0,5.5,0.8,2.0,8.0,1
7,Grapes - Red,Fruits,Vine,10,55.0,2.0,3.5,0.7,2.0,8.0,1
8,Grapes - Green,Fruits,Vine,10,45.0,2.1,3.6,0.7,2.0,8.0,1
9,Watermelon,Fruits,Melon,14,30.0,3.0,5.0,0.3,2.0,8.0,1
10,Mangoes,Fruits,Tropical,8,40.0,2.5,4.0,1.5,2.0,8.0,1
11,Pineapple,Fruits,Tropical,7,25.0,2.0,3.5,0.6,2.0,8.0,1
12,Avocados,Fruits,Tropical,5,70.0,1.5,3.0,2.5,2.0,8.0,1
13,Peaches,Fruits,Stone,7,35.0,1.8,3.2,0.5,2.0,8.0,1
14,Pears,Fruits,Pome,14,40.0,1.3,2.2,0.3,2.0,8.0,1
15,Lemons,Fruits,Citrus,21,50.0,0.8,1.5,0.3,2.0,8.0,1
16,Limes,Fruits,Citrus,14,30.0,0.9,1.6,0.4,2.0,8.0,1
17,Kiwi,Fruits,Exotic,14,25.0,1.5,2.8,1.0,2.0,8.0,1
18,Pomegranate,Fruits,Exotic,21,20.0,2.5,4.5,0.8,2.0,8.0,1
19,Cherries,Fruits,Stone,5,20.0,4.0,7.0,0.6,2.0,8.0,1
20,Raspberries,Fruits,Berries,4,25.0,3.5,6.0,1.0,2.0,8.0,1
21,Tomatoes,Vegetables,Nightshade,10,100.0,1.0,2.0,1.4,2.0,8.0,1
22,Potatoes,Vegetables,Root,30,130.0,0.6,1.2,0.5,2.0,8.0,1
23,Onions,Vegetables,Allium,30,110.0,0.5,1.0,0.3,2.0,8.0,1
24,Carrots,Vegetables,Root,21,80.0,0.7,1.3,0.4,2.0,8.0,1
25,Broccoli,Vegetables,Cruciferous,7,55.0,1.5,2.8,0.9,2.0,8.0,1
26,Cauliflower,Vegetables,Cruciferous,7,40.0,1.6,2.9,0.8,2.0,8.0,1
27,Spinach,Vegetables,Leafy,5,60.0,1.2,2.5,0.6,2.0,8.0,1
28,Lettuce - Iceberg,Vegetables,Leafy,7,75.0,0.8,1.8,0.5,2.0,8.0,1
29,Lettuce - Romaine,Vegetables,Leafy,7,50.0,1.0,2.0,0.5,2.0,8.0,1
30,Bell Peppers - Red,Vegetables,Nightshade,10,45.0,1.5,2.8,0.9,2.0,8.0,1
31,Bell Peppers - Green,Vegetables,Nightshade,10,50.0,1.2,2.2,0.8,2.0,8.0,1
32,Cucumbers,Vegetables,Gourd,7,65.0,0.6,1.2,0.4,2.0,8.0,1
33,Zucchini,Vegetables,Gourd,7,35.0,1.0,2.0,0.3,2.0,8.0,1
34,Mushrooms,Vegetables,Fungi,5,40.0,2.0,3.5,0.6,2.0,8.0,1
35,Sweet Corn,Vegetables,Grain,5,50.0,0.8,1.5,1.0,2.0,8.0,1
36,Green Beans,Vegetables,Legume,7,35.0,1.2,2.2,0.5,2.0,8.0,1
37,Celery,Vegetables,Stalk,14,30.0,0.7,1.3,0.3,2.0,8.0,1
38,Cabbage,Vegetables,Cruciferous,14,45.0,0.5,1.0,0.2,2.0,8.0,1
